0,0,12
0,1,15.75
0,2,33.5
1,0,7.9
1,1,8.5
1,2,19.5
1,3,67.5
2,0,10.5
2,1,10
2,2,21
2,3,80
3,0,18.5
3,1,19
3,2,38
3,3,120
